date,amount,category,description

01-01-2024,1500,Income,Salary
01-02-2024,20,Expense,Groceries
01-03-2024,45,Expense,Gas
01-05-2024,120,Expense,Electricity Bill
01-07-2024,100,Expense,Dining Out
01-10-2024,200,Expense,Shopping
01-12-2024,1500,Income,Freelance Project
01-15-2024,50,Expense,Internet Bill
01-18-2024,75,Expense,Car Maintenance
01-20-2024,25,Expense,Movie Night
01-22-2024,15,Expense,Coffee
01-25-2024,500,Income,Stock Dividend
01-27-2024,60,Expense,Phone Bill
01-28-2024,30,Expense,Public Transport
01-30-2024,70,Expense,Subscriptions
02-01-2024,1500,Income,Salary
02-03-2024,25,Expense,Groceries
02-04-2024,50,Expense,Gas
02-06-2024,130,Expense,Water Bill
02-08-2024,80,Expense,Dining Out
02-10-2024,220,Expense,Shopping
02-12-2024,1600,Income,Freelance Project
02-14-2024,55,Expense,Internet Bill
02-17-2024,85,Expense,Car Maintenance
02-19-2024,30,Expense,Movie Night
02-21-2024,20,Expense,Coffee
02-24-2024,600,Income,Stock Dividend
02-26-2024,65,Expense,Phone Bill
02-27-2024,35,Expense,Public Transport
02-29-2024,75,Expense,Subscriptions
